781
242
17
28 72 133 179 219 255 326 370 423 476 503 568 616 666 680 761 0 
36 86 106 171 220 282 327 376 415 463 502 569 583 644 693 761 0 
20 85 122 180 207 261 326 352 404 473 492 564 595 657 706 762 0 
37 64 134 181 218 283 314 341 401 454 494 568 605 667 711 731 0 
38 87 135 148 228 284 328 354 424 469 490 536 599 651 690 763 0 
11 50 113 182 221 285 301 377 393 452 521 566 595 668 684 764 0 
8 64 128 177 216 286 329 378 417 477 500 570 608 643 698 759 0 
24 56 119 183 214 263 304 379 424 466 514 570 617 668 680 732 0 
39 63 114 184 201 259 303 349 408 472 509 534 604 669 708 765 0 
40 75 136 165 226 287 325 358 425 476 522 548 584 665 710 748 775 
26 88 132 167 218 278 328 363 420 448 514 571 618 670 714 759 0 
1 89 123 176 221 251 302 368 414 448 523 551 615 656 701 745 0 
39 90 137 185 232 267 316 350 426 451 524 543 619 671 698 748 0 
41 59 112 147 233 286 315 357 427 454 520 541 597 651 715 766 0 
42 65 108 150 195 275 295 368 424 438 510 537 604 661 697 744 0 
36 80 130 170 203 259 322 369 428 470 512 572 620 639 716 743 776 
35 50 138 185 212 280 300 380 429 461 492 559 621 660 711 741 0 
43 80 111 155 212 261 318 381 421 458 491 573 596 638 694 757 0 
40 76 138 183 234 246 330 382 392 452 520 549 586 636 694 729 0 
21 91 134 166 235 255 289 357 410 459 525 540 590 672 694 737 781 
16 78 139 151 219 242 317 354 430 474 526 574 584 652 679 766 0 
29 62 130 186 210 273 316 375 429 467 527 560 600 650 699 734 0 
19 91 97 182 208 264 331 380 413 471 490 571 598 662 688 767 0 
27 85 140 187 211 263 332 383 390 478 521 535 593 673 681 737 0 
13 63 141 171 206 257 312 364 372 452 508 545 592 638 712 744 0 
25 92 99 180 222 283 307 369 419 458 489 575 615 672 712 764 0 
2 80 142 183 227 265 309 360 425 479 528 559 610 644 691 755 0 
3 93 123 164 204 259 320 380 431 459 502 556 622 631 717 762 0 
44 92 137 188 233 264 328 384 422 452 494 554 591 661 702 765 0 
44 60 101 174 236 260 315 355 426 450 487 556 623 666 718 742 0 
30 73 100 161 202 250 333 379 416 451 521 572 611 674 714 747 0 
45 70 127 189 235 272 313 363 427 480 526 545 586 667 698 768 775 
35 92 105 151 228 249 305 367 432 479 515 549 619 667 684 758 0 
12 81 98 164 207 277 334 368 433 461 518 567 620 647 719 757 0 
39 80 117 187 237 288 335 362 434 481 493 557 597 675 705 764 0 
13 94 121 149 230 250 313 361 398 472 494 563 609 652 692 729 781 
21 60 113 175 238 254 322 351 433 466 519 571 585 659 693 751 0 
4 54 133 146 231 245 300 385 424 479 502 543 615 637 718 756 0 
10 88 131 173 225 285 336 358 405 482 490 576 590 650 720 753 0 
32 88 143 186 196 276 296 345 394 472 496 551 624 665 715 767 0 
12 91 144 149 222 251 293 371 389 482 499 574 618 659 710 769 0 
31 56 111 150 226 269 327 357 411 481 506 546 606 676 721 770 0 
17 57 121 181 221 246 317 363 406 476 516 535 608 655 722 747 0 
41 61 121 165 239 284 322 344 409 442 515 576 625 649 686 732 0 
45 78 117 160 239 267 319 378 422 483 497 562 603 636 682 741 0 
26 90 100 157 235 287 337 380 419 481 528 568 593 630 687 771 0 
